"lon","lat","Име","Адрес"
"24.945312","42.137165","Lukoil B049","Садово, гл. път Свиленград - Пловдив"
"24.881399","42.145199","Lukoil B055","Катуница, гл. път Е80 (местност Кимера)"
"24.725201","42.224300","Lukoil B091","Труд, изход към Пловдив"
"23.894899","42.910198","Lukoil B023","Правец, вход от АМ Хемус"
"27.742201","42.268299","Lukoil B087","Приморско, главен път за Царево"
"25.215322","42.093632","Lukoil B163","Първомай, ул. Княз Борис №78А"
"25.942900","42.295399","Lukoil B035","Раднево, гл. път ІІ-57, кв. 96"
"22.965300","42.553299","Lukoil B123","Радомир, ул. Райко Даскалов"
"26.534538","43.522255","Lukoil B073","Разград, бул. Априлско въстание (до Автогарата)"
"26.511400","43.529202","Lukoil B184","Разград, ул. Априлско въстание, до КАТ, изход към Русе"
"23.447300","41.880001","Lukoil B102","Разлог, ул. Екзарх Йосиф"
"23.480301","41.887299","Lukoil B124","Разлог, ул. Христо Ботев №77"
"25.928499","43.816002","Lukoil B031","Русе, ул. Трети март, изход за София (до МЕТРО)"
"25.968300","43.834202","Lukoil B010","Русе, бул. Христо Ботев №1"
"25.948900","43.843102","Lukoil B158","Русе, ул. Рила 3 (до Старата поща)"
"25.976200","43.841202","Lukoil B094","Русе, бул. България, Дунав мост"
"25.963900","43.853802","Lukoil B179","Русе, ул. Свети Наум"
"23.737101","41.620701","Lukoil B067","Баничан, път Банско-Гоце Делчев"
"27.304701","42.521900","Lukoil B007","Братово, с. Братово"
"24.277201","43.037899","Lukoil B097","Български Извор, гл. път Е-772 (Велико Търново-София)"
"27.299700","42.394798","Lukoil F517","Дебелт, с. Дебелт"
"24.554100","42.119900","Lukoil B183","Йоаким Груево, с. Йоаким Груево"
"24.795200","42.089500","Lukoil B082","Крумово, път Асеновград-Пловдив (до разклона за с. Крумово)"
"24.826391","42.055458","Lukoil F522","Куклен, път Пловдив-Асеновград (разклон КЦМ)"
"25.482901","43.089699","Lukoil B011","Момин сбор, гл. път Варна-София (разклон за Момин сбор)"
"26.075764","42.529224","Lukoil B066","Съдиево, гл. път Стара Загора-Сливен"
"25.348900","41.749100","Lukoil B109","Черноочене, гл. път Хасково-Кърджали"
"23.552401","42.337399","Lukoil B121","Самоков, бул. Софийско шосе и ул. Македония"
"23.530800","42.338699","Lukoil B089","Самоков, вход от Дупница"
"23.271900","41.546398","Lukoil B156","Сандански, Околовръстен път, изход Кулата"
"23.268200","41.548500","Lukoil B155","Сандански, Промишлена зона, път за жп гарата"
"23.991800","41.614799","Lukoil B101","Сатовча, с. Сатовча, Благоевградска област"
"23.356400","42.957298","Lukoil B171","Своге, бул. Дунав №1"
"25.113100","43.020699","Lukoil B154","Севлиево, изход за Велико Търново"
"25.008699","43.033199","Lukoil B034","Ряховците, гл. път София-Варна, преди Севлиево"
"27.182400","44.112999","Lukoil B074","Силистра, ГКПП Силистра, Терминал 2"
"26.304600","42.632999","Lukoil B108","Сливен, кв. Речица, гл. път София-Бургас"
"26.322001","42.652302","Lukoil B177","Сливен, ул. Старозагорско шосе"
"26.316982","42.676876","Lukoil B160","Сливен, ул. Симеон №7 (до пазара)"
"26.301001","42.681599","Lukoil B085","Сливен, кв. Клуцохор"
"26.361900","42.673302","Lukoil B084","Сливен, Бургаско шосе, до Държ. резерв"
"24.736158","41.568089","Lukoil B047","Смолян, кв. Райково (до Стадиона)"
"24.766800","42.649601","Lukoil B038","Сопот, бул. Иван Вазов №1А"
"23.464811","42.630432","Lukoil B016","АМ Тракия, 1-ви км"
"23.294298","42.694431","Lukoil B032","София, бул. К. Величков и бул. Възкресение"
"23.400213","42.685188","Lukoil B001","София, Аерогара София - Терминал 1"
"23.229225","42.745998","Lukoil B013","София, изход за Калотина (до Метро-2)"
